Tema,Ciudad,Fecha,Número de lote,URL,Título del lote,Nombre del artista,Precio estimado,Precio de venta,URL imagen
British and European Art,LONDON,4 JUN 2024,LOT 11,https://www.christies.com/en/lot/lot-6486216?ldp_breadcrumb=back,Arbuscula,"AUBREY VINCENT BEARDSLEY (BRITISH, 1872-1898)","GBP 40,000 - 60,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0011_000(aubrey_vincent_beardsley_arbuscula120349).jpg
British and European Art,LONDON,4 JUN 2024,LOT 12,https://www.christies.com/en/lot/lot-6486217?ldp_breadcrumb=back,"A set of four tracery designs for Albion Congregational Church, Ashton-under-Lyne, Lancashire","SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S. (BRITISH, 1833-1898)","GBP 20,000 - 30,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0012_000(sir_edward_coley_burne-jones_bt_ara_rws_a_set_of_four_tracery_designs120406).jpg
British and European Art,LONDON,4 JUN 2024,LOT 13,https://www.christies.com/en/lot/lot-6486218?ldp_breadcrumb=back,"Study of a female figure, bust-length","SIMEON SOLOMON (BRITISH, 1840-1905)","GBP 10,000 - 15,000","GBP 16,380",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0013_000(simeon_solomon_study_of_a_female_figure_bust-length120450).jpg
British and European Art,LONDON,4 JUN 2024,LOT 14,https://www.christies.com/en/lot/lot-6486219?ldp_breadcrumb=back,Study for 'Chaucer's Dream of Good Women',"SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S. (BRITISH, 1833-1898)","GBP 7,000 - 10,000","GBP 13,860",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0014_000(sir_edward_coley_burne-jones_bt_ara_rws_study_for_chaucers_dream_of_go120510).jpg
British and European Art,LONDON,4 JUN 2024,LOT 15,https://www.christies.com/en/lot/lot-6486220?ldp_breadcrumb=back,"Portrait of Mrs Charles Howell, half-length","DANTE GABRIEL ROSSETTI (BRITISH, 1828-1882)","GBP 500,000 - 800,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0015_000(dante_gabriel_rossetti_portrait_of_mrs_charles_howell_half-length120530).jpg
British and European Art,LONDON,4 JUN 2024,LOT 16,https://www.christies.com/en/lot/lot-6486221?ldp_breadcrumb=back,"Study of a female head, seen from behind","SIR WILLIAM BLAKE RICHMOND, R.A. (BRITISH 1842-1921)","GBP 3,000 - 5,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0016_000(sir_william_blake_richmond_ra_study_of_a_female_head_seen_from_behind120547).jpg
British and European Art,LONDON,4 JUN 2024,LOT 17,https://www.christies.com/en/lot/lot-6486785?ldp_breadcrumb=back,Autumn landscape,"BROR LINDH (SWEDISH, 1877-1941)","GBP 4,000 - 6,000","GBP 11,970",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0017_000(bror_lindh_autumn_landscape120606).jpg
British and European Art,LONDON,4 JUN 2024,LOT 18,https://www.christies.com/en/lot/lot-6486228?ldp_breadcrumb=back,Interior,"SIGMUND WALTER HAMPEL (AUSTRIAN, 1868-1949)","GBP 12,000 - 18,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0018_000(sigmund_walter_hampel_interior_d6486228120627).jpg
British and European Art,LONDON,4 JUN 2024,LOT 19,https://www.christies.com/en/lot/lot-6486786?ldp_breadcrumb=back,Waiting for the train (Naar Toget ventes),"LAURITS ANDERSEN RING (DANISH, 1854-1933)","GBP 18,000 - 20,000","GBP 2,772",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0019_000(laurits_andersen_ring_waiting_for_the_train_d6486786120649).jpg
British and European Art,LONDON,4 JUN 2024,LOT 20,https://www.christies.com/en/lot/lot-6486237?ldp_breadcrumb=back,Girl in an interior,"SIGMUND WALTER HAMPEL (AUSTRIAN, 1868-1949)","GBP 12,000 - 18,000","GBP 27,720",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0020_000(sigmund_walter_hampel_girl_in_an_interior120708).jpg
British and European Art,LONDON,4 JUN 2024,LOT 21,https://www.christies.com/en/lot/lot-6486244?ldp_breadcrumb=back,"A street scene, Copenhagen","PAUL FISCHER (DANISH, 1860–1934)","GBP 40,000 - 60,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0021_000(paul_fischer_a_street_scene_copenhagen120726).jpg
British and European Art,LONDON,4 JUN 2024,LOT 22,https://www.christies.com/en/lot/lot-6486245?ldp_breadcrumb=back,"Portrait of Yvonne MacDonald, née Norton-Bell","GERALD LESLIE BROCKHURST, R.A. (BRITISH, 1890-1978)","GBP 30,000 - 50,000","GBP 46,620",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0022_000(gerald_leslie_brockhurst_ra_portrait_of_yvonne_macdonald_nee_norton-be120745).jpg
British and European Art,LONDON,4 JUN 2024,LOT 23,https://www.christies.com/en/lot/lot-6486246?ldp_breadcrumb=back,"Madeleine Carroll (1906-1987), in a white evening gown, possibly by Fortuny, c. 1931","SIR HERBERT JAMES GUNN, R.A. (BRITISH, 1893-1964)","GBP 18,000 - 25,000","GBP 21,420",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0023_000(sir_herbert_james_gunn_ra_madeleine_carroll_in_a_white_evening_gown_po120804).jpg
British and European Art,LONDON,4 JUN 2024,LOT 24,https://www.christies.com/en/lot/lot-6486248?ldp_breadcrumb=back,"The Duchess of Roxburghe, Mary Innes-Ker (1915-2014)","SIR OSWALD BIRLEY, R.A. (BRITISH, 1880-1952)","GBP 10,000 - 15,000","GBP 17,640",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0024_000(sir_oswald_birley_ra_the_duchess_of_roxburghe_mary_innes-ker120821).jpg
